 Spectral energy distribution at the surface of the nebula: 
   viewPoints = 
    nu [Ryd]        lambda [um]         F(nu)*D^2            
                                        [Jy * pc^2]              
   1.30000001E-06   70097.5156       0.00000000    
   1.48943423E-06   61182.1406       0.00000000    
   3.33333332E-06   27338.0312       0.00000000    
   4.46333343E-06   20416.7539       0.00000000    
   1.67133330E-05   5452.34033       0.00000000    
   3.74133342E-05   2435.67651       0.00000000    
   9.11267780E-05   999.999939       0.00000000    
   9.65223808E-05   944.099976       0.00000000    
   1.02240301E-04   891.299927       0.00000000    
   1.08303750E-04   841.400024       0.00000000    
   1.14725903E-04   794.299927       0.00000000    
   1.21518569E-04   749.899963       0.00000000    
   1.28728308E-04   707.900085       0.00000000    
   1.36356102E-04   668.299927       0.00000000    
   1.44416452E-04   630.999939       0.00000000    
   1.52974273E-04   595.700012       0.00000000    
   1.62060780E-04   562.299988       0.00000000    
   1.71645836E-04   530.899963       0.00000000    
   1.81817188E-04   501.200043       0.00000000    
   1.92575608E-04   473.199982       0.00000000    
   2.03999938E-04   446.700012       0.00000000    
   2.16093846E-04   421.700043       0.00000000    
   2.28904231E-04   398.099976       0.00000000    
   2.42487440E-04   375.799988       0.00000000    
   2.56839849E-04   354.799988       0.00000000    
   2.72020232E-04   334.999969       0.00000000    
   2.88193463E-04   316.199982       0.00000000    
   3.05282330E-04   298.500000       0.00000000    
   3.23373970E-04   281.799957       0.00000000    
   3.42453131E-04   266.099976       0.00000000    
   3.62765830E-04   251.199997       0.00000000    
   3.84338986E-04   237.100006       0.00000000    
   4.06997686E-04   223.899994       0.00000000    
   4.31267283E-04   211.299988       0.00000000    
   4.56775830E-04   199.499985       0.00000000    
   4.83687792E-04   188.399979       0.00000000    
   5.12524042E-04   177.800003       0.00000000    
   5.42744354E-04   167.899994       0.00000000    
   5.74932317E-04   158.500000       0.00000000    
   6.09136187E-04   149.600006       0.00000000    
   6.44917018E-04   141.300003       0.00000000    
   6.83109276E-04   133.399994       0.00000000    
   7.23802834E-04   125.899994       0.00000000    
   7.66415265E-04   118.899994       0.00000000    
   8.12181621E-04   112.199997       0.00000000    
   8.60498345E-04   105.899994       0.00000000    
   9.11267765E-04   100.000000       0.00000000    
   9.65223764E-04   94.4099960       0.00000000    
   1.02240301E-03   89.1299896       0.00000000    
   1.08303758E-03   84.1399918       0.00000000    
   1.14725891E-03   79.4300003       0.00000000    
   1.21518574E-03   74.9899979       0.00000000    
   1.28728314E-03   70.7900009       0.00000000    
   1.36356091E-03   66.8300018       0.00000000    
   1.44416443E-03   63.0999947       0.00000000    
   1.52974273E-03   59.5699959       0.00000000    
